"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Afghanistan","AFG","2020","5.889",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Afghanistan","AFG","2017","4.255",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Afghanistan","AFG","2014","6.929",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Albania","ALB","2023","32.382",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Albania","ALB","2022","29.107",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Albania","ALB","2021","30.675",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Albania","ALB","2020","37.117",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Albania","ALB","2019","41.340",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Albania","ALB","2018","31.601",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Albania","ALB","2017","22.648",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Albania","ALB","2016","24.018",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Albania","ALB","2015","19.275",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Albania","ALB","2014","20.621",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Albania","ALB","2013","29.298",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Albania","ALB","2012","14.715",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Albania","ALB","2010","19.100",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Albania","ALB","2009","21.980",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Albania","ALB","2008","24.434",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Albania","ALB","2007","22.815",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Albania","ALB","2002","15.798",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Angola","AGO","2022","15.413",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Angola","AGO","2021","11.014",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Angola","AGO","2019","10.903",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Angola","AGO","2014","18.191",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Angola","AGO","2009","14.777",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Argentina","ARG","2023","37.982",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Argentina","ARG","2022","37.910",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Argentina","ARG","2021","37.360",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Argentina","ARG","2020","36.984",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Argentina","ARG","2019","33.136",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Argentina","ARG","2018","33.178",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Argentina","ARG","2017","32.629",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Argentina","ARG","2014","38.637",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Argentina","ARG","2013","36.493",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Argentina","ARG","2012","32.343",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Argentina","ARG","2011","30.155",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Argentina","ARG","2010","32.139",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Argentina","ARG","2009","34.430",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Argentina","ARG","2008","29.930",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Argentina","ARG","2006","29.413",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Argentina","ARG","2005","26.258",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Argentina","ARG","2004","28.607",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2023","38.898",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2022","38.016",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2021","37.469",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2020","36.823",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2019","35.508",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2018","34.960",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2017","35.106",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2016","36.232",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2015","35.301",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2014","34.995",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2013","32.868",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2012","29.891",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2011","27.607",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2010","33.533",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2009","30.146",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2008","39.042",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2007","30.979",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2006","33.310",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2005","28.240",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2004","32.038",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2003","29.557",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2002","28.854",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Australia","AUS","2001","29.257",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2023","33.793",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2022","31.527",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2021","34.309",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2020","31.467",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2019","32.009",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2018","28.858",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2017","29.191",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2016","29.517",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2015","27.876",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2014","27.848",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2013","26.329",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2012","27.132",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2011","26.074",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2010","25.422",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2009","23.252",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2008","25.193",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2007","20.997",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2006","20.956",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2005","21.504",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2004","23.024",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2003","28.498",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2002","30.776",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2001","29.377",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Austria","AUT","2000","28.131",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bahamas, The","BHS","2019","47.887",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bangladesh","BGD","2022","8.873",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bangladesh","BGD","2017","11.483",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bangladesh","BGD","2010","10.037",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bangladesh","BGD","2006","10.903",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Barbados","BRB","2016","55.028",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belarus","BLR","2023","41.557",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belarus","BLR","2022","42.363",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belarus","BLR","2021","43.983",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belarus","BLR","2020","47.754",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belarus","BLR","2019","45.805",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belarus","BLR","2018","44.725",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belarus","BLR","2017","47.597",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belarus","BLR","2016","45.991",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2022","35.263",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2021","34.446",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2020","36.515",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2019","35.067",""
