"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Africa Western and Central","AFW","2022","69.565","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Africa Western and Central","AFW","2019","48.316","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2023","23.928","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2022","21.934","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2021","20.928","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2020","23.049","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2019","23.973","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2018","23.881","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2017","24.270","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2016","24.027","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2015","24.787","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2014","17.579","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2013","17.817","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2012","18.324","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2011","18.554","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2010","18.897","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2009","19.122","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2008","19.605","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2007","19.893","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2006","20.092","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2005","20.499","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2004","21.541","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2003","22.473","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2002","23.599","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2001","26.043","Basic, female"
